cat, кот
dog, собака
fish, рыба
cow, корова
pig, свинья
sheep, овца
horse, лошадь
bear, медведь
fox, лиса
wolf, волк
food, еда
water, вода
house, дом
table, стол
chair, стул
book, книга
pen, ручка
banana, банан
orange, апельсин
car, машина
bus, автобус
plane, самолет
train, поезд
bike, велосипед
sun, солнце
moon, луна
star, звезда
rain, дождь
wind, ветер
hot, жарко
cold, холодно
man, мужчина
woman, женщина
boy, мальчик
good, хорошо
bad, плохо
small, маленький
family, семья
love, любовь
hate, ненависть
happy, счастливый
funny, смешной
ugly, уродливый
blue, синий
green, зеленый
yellow, желтый
pink, розовый
grey, серый
morning, утро
day, день
summer, лето
spring, весна
fall, осень
winter, зима
city, город
country, страна
sea, море
river, река
forest, лес
garden, сад
park, парк
tree, дерево
new, новый
snow, снег
flower, цветок
